"site_id","address"
"538727"," 79 Street North of  97 Avenue"
"538667"," 79 Street North of  80 Avenue"
"538655"," 79 Street North of  77 Avenue"
"538675"," 79 Street North of  82 Avenue"
"538679"," 79 Street North of  83 Avenue"
"538691"," 79 Street North of  86 Avenue"
"538711"," 79 Street North of  92 Avenue"
"538719"," 79 Street North of  94 Avenue"
"538723"," 79 Street North of  95 Avenue"
"538735"," 79 Street North of  98A Avenue "
"439845"," 88 Street North of 160 Avenue"
"540027"," 88 Street SW North of  14 Avenue SW"
"439921"," 88A Street North of 140 Avenue"
"538739"," 79 Street North of 101 Avenue "
"303012"," 89 Avenue West of 181 Street"
"302952","89 Avenue West of Meadowlark Road"
"538751"," 79 Street North of 104 Avenue"
"538755"," 79 Street North of 105 Avenue "
"110913"," 79 Street North of 112S Avenue"
"110925"," 79 Street North of 118 Avenue"
"438629"," 79 Street North of 164 Avenue"
"538639"," 79 Street North of Argyll Road "
"521624"," 80 Avenue West of  97 Street"
"237628"," 80 Avenue West of 110 Street"
"300284"," 80 Avenue West of 139 Street"
"300348"," 80 Avenue West of 147 Street"
"110951"," 80 Street North of 117 Avenue"
"300788","81 Avenue West of176 Street"
"439085"," 82 Street North of 134 Avenue"
"438961"," 82 Street North of 135A Avenue"
"438977"," 82 Street North of 149A Avenue"
"438981"," 82 Street North of 153 Avenue"
"439005"," 82 Street North of 173 Avenue"
"439009"," 82 Street North of 180 Avenue"
"438921"," 82 Street North of Yellowhead Trail Westbound"
"539311"," 83 Street North of  96 Avenue"
"539635"," 85 Street North of  96 Avenue"
"522860"," 86 Avenue West of  77 Street"
"111127"," 86 Street North of 113 Avenue"
"539739"," 86 Street North of Millgate Transit Centre"
"540531"," 91 Street North of Whitemud Drive Westbound"
"238720"," 87 Avenue West of 118 Street"
"238744"," 87 Avenue West of 120 Street"
"540271"," 89 Street North of  81 Avenue "
"540263"," 89 Street North of  79 Avenue"
"302228"," 87 Avenue West of 142 Street"
"302236"," 87 Avenue West of 145 Street"
"302272"," 87 Avenue West of 152 Street"
"302292"," 87 Avenue West of 153 Street"
"303200"," 89A Avenue West of 140 Street"
"302316","87 Avenue West of 157 Street"
"539967"," 87 Street North of  93 Avenue"
"439609"," 87 Street North of 135A Avenue"
"439613"," 87 Street North of 136 Avenue"
"439677"," 87 Street North of 166 Avenue"
"439709"," 87 Street North of 177 Avenue"
"523276"," 88 Avenue West of  90 Street West"
"523300"," 88 Avenue West of  92 Street"
"523360"," 88 Avenue West of  99 Street"
"302664"," 88 Avenue West of 160 Street"
"302696"," 88 Avenue West of 164A Street"
"302704"," 88 Avenue West of 165 Street"
"540043"," 88 Street North of  10 Avenue"
"523568"," 90 Avenue West of  58 Street"
"523592"," 90 Avenue West of  71 Street"
"440089"," 90 Street North of 128 Avenue"
"523788"," 90A Avenue West of  52 Street"
"540499"," 91 Street North of  23 Avenue"
"523600"," 90 Avenue West of  73 Street"
"540507"," 91 Street North of  28 Avenue"
"540515"," 91 Street North of  34 Avenue"
"303400"," 90 Avenue West of 150 Street"
"303432"," 90 Avenue West of 154 Street"
"540535"," 91 Street North of  51 Avenue"
"540539"," 91 Street North of  58 Avenue"
"440341"," 91 Street North of 168 Avenue"
"440353"," 91 Street North of 175 Avenue"
"540495"," 91 Street North of Anthony Henday Drive Westbound"
"540541"," 91 Street South of  63 Avenue"
"111363"," 92 Street North of 106A Avenue"
"524996"," 94B Avenue West of 68 Street"
"525120"," 95 Avenue West of  76 Street"
"525136"," 95 Avenue West of  79 Street"
"525144"," 95 Avenue West of  80 Street"
"305744"," 95 Avenue West of 157 Street"
"305776"," 95 Avenue West of 167 Street"
"440965"," 95 Street North of 162 Avenue"
"525484"," 97 Avenue West of  79 Street"
"541359"," 97 Street North of  62 Avenue"
"111713"," 97 Street North of 109 Avenue"
"111721"," 97 Street North of 111 Avenue"
"441233"," 97 Street North of 125A Avenue"
"441237"," 97 Street North of 127 Avenue"
"441249"," 97 Street North of 130 Avenue"
"441253"," 97 Street North of 132 Avenue"
"441257"," 97 Street North of 134 Avenue"
"441261"," 97 Street North of 135 Avenue"
"441281"," 97 Street North of Griesbach Road"
"525674"," 98 Avenue West of  62 Street"
"525708"," 98 Avenue West of Ottewell Road"
"541567"," 98 Street North of  78 Avenue"
"541663"," 99 Street North of  22 Avenue"
"541691"," 99 Street North of  41 Avenue"
"541707"," 99 Street North of  44 Avenue"
"541723"," 99 Street North of  51 Avenue"
"541735"," 99 Street North of  60 Avenue "
"541747"," 99 Street North of  65 Avenue"
"541787"," 99 Street North of  75 Avenue"
"541803"," 99 Street North of  79 Avenue"
"541819"," 99 Street North of  83 Avenue"
"541839"," 99 Street North of  88 Avenue"
"541847"," 99 Street North of  90 Avenue"
"100506","100 Avenue West of 117 Street"
"100514","100 Avenue West of 119 Street "
"309844","104 Avenue West of 137 Street"
"310012","104 Avenue West of 157 Street"
"308032","100 Avenue West of 147 Street"
"308040","100 Avenue West of 148 Street"
"310036","104 Avenue West of 160 Street"
"308088","100 Avenue West of 155 Street"
"250667","104 Street North of  85 Avenue"
"308176","100 Avenue West of 169 Street"
"308248","100 Avenue West of Anthony Henday Drive"
"111825","100 Street North of 102A Avenue"
"441505","100 Street North of 161 Avenue"
"441525","100 Street North of 165 Avenue"
"111815","100 Street North of McDougall Hill"
"526188","101 Avenue West of  80 Street"
"111887","101 Street North of 103 Avenue"
"111881","101 Street North of 104 Avenue"
"111893","101 Street North of 108 Avenue"
"100868","102 Avenue West of  95 Street"
"308988","102 Avenue West of Tweedsmuir Crescent East"
"101266","104 Avenue West of 102 Street"
"101414","105 Avenue West of 106 Street"
"310336","105 Avenue West of 140 Street"
"250817","105 Street North of  14 Avenue"
"250991","105 Street North of  51 Avenue"
"527468","106 Avenue West of  77 Street"
"251399","106 Street North of  29 Avenue"
"251471","106 Street North of  47 Avenue"
"101772","107 Avenue West of 111 Street"
"101800","107 Avenue West of 120 Street"
"311088","107 Avenue West of 125 Street"
"311120","107 Avenue West of 129 Street"
"311168","107 Avenue West of 136 Street"
"311192","107 Avenue West of 144 Street"
"311224","107 Avenue West of 152 Street"
"311264","107 Avenue West of 159 Street"
"251813","107 Street North of  51 Avenue"
"251855","107 Street North of  60 Avenue"
"101834","107A Avenue West of  96 Street"
"101846","107A Avenue West of  99 Street"
"312084","108 Avenue West of 151 Street"
"312108","108 Avenue West of 154 Street"
"312248","109 Avenue West of 133 Street"
"312272","109 Avenue West of 136 Street"
"252659","109 Street North of  53 Avenue"
"252665","109 Street North of  54 Avenue"
"252677","109 Street North of  58 Avenue"
"252695","109 Street North of  62 Avenue"
"252749","109 Street North of  71 Avenue"
"252755","109 Street North of  72 Avenue"
"252779","109 Street North of  76 Avenue"
"252815","109 Street North of  81 Avenue"
"252821","109 Street North of  82 Avenue"
"252833","109 Street North of  84 Avenue"
"112253","109 Street North of 100 Avenue"
"112271","109 Street North of 109 Avenue"
"112273","109 Street North of 110 Avenue"
"442697","109 Street North of 132 Avenue"
"442749","109 Street North of 162A Avenue"
"442773","109 Street North of 168 Avenue"
"252545","109 Street North of Bearspaw Drive"
"112277","109 Street North of Kingsway Avenue"
"528136","109A Avenue West of  46 Street"
"252887","109A Street North of  54 Avenue"
"252893","109A Street North of  57 Avenue"
"252905","109A Street North of  63 Avenue"
"102190","110 Avenue West of  36 Street"
"102194","110 Avenue West of  38 Street"
"313036","110 Avenue West of 160 Street"
